type,task,constantpredictor,h2oautoml
binary,apsfailure,1.0,
binary,australian,1.0,
binary,bioresponse,1.0,
binary,blood-transfusion,1.0,
binary,christine,1.0,
binary,credit-g,1.0,
binary,dresses-sales,1.0,
binary,internet-advertisements,1.0,
binary,jasmine,1.0,
binary,kc1,1.0,
binary,kc2,1.0,
binary,kr-vs-kp,1.0,
binary,phishingwebsites,1.0,40.0
binary,phoneme,1.0,
binary,sylvine,1.0,
multiclass,car,1.0,
multiclass,cnae-9,1.0,
multiclass,dilbert,1.0,
multiclass,eucalyptus,1.0,
multiclass,fabert,1.0,
multiclass,iris,1.0,83.83870967741936
multiclass,mfeat-factors,1.0,
multiclass,micro-mass,1.0,
multiclass,segment,1.0,
multiclass,vehicle,1.0,
regression,cholesterol,1.0,
